venue,format,matches,completed_matches,no_results,ties,draws,batting_first_matches,batting_first_wins,batting_first_win_pct,bowling_first_matches,bowling_first_wins,bowling_first_win_pct,innings_count,total_runs,first_innings_count,first_innings_total_runs,second_innings_count,second_innings_total_runs,total_bowler_wickets,fast_wickets,medium_wickets,off_spin_wickets,leg_spin_wickets,unknown_wickets,avg_score,max_score,min_score,avg_first_innings_score,max_first_innings_score,min_first_innings_score,avg_second_innings_score,max_second_innings_score,min_second_innings_score,fast_wicket_pct,medium_wicket_pct,off_spin_wicket_pct,leg_spin_wicket_pct,pace_wicket_pct,spin_wicket_pct
Alembic 2  Cricket Ground,T20,6,6,0,0,0,4,4,100.0,2,2,100.0,12,1731,6,904,6,827,85,0,0,0,0,85,144.25,180,108,150.67,179,108,137.83,180,109,0.0,0.0,0.0,0.0,0.0,0.0
Allan Border Field,ODI,7,7,0,0,0,3,3,100.0,4,4,100.0,14,2995,7,1743,7,1252,104,0,0,0,0,104,213.93,325,93,249.0,325,180,178.86,255,93,0.0,0.0,0.0,0.0,0.0,0.0
Allan Border Field,T20,17,17,0,0,0,5,5,100.0,12,12,100.0,34,4489,17,2272,17,2217,199,0,0,0,0,199,132.03,185,94,133.65,183,102,130.41,185,94,0.0,0.0,0.0,0.0,0.0,0.0
"Allan Border Field, Brisbane",ODI,6,6,0,0,0,1,1,100.0,5,5,100.0,12,1995,6,1053,6,942,78,0,0,0,0,78,166.25,371,83,175.5,371,83,157.0,249,87,0.0,0.0,0.0,0.0,0.0,0.0
"Allan Border Field, Brisbane",T20,22,22,0,0,0,11,11,100.0,11,11,100.0,44,6182,22,3277,22,2905,285,0,0,0,0,285,140.5,200,46,148.95,200,46,132.05,182,47,0.0,0.0,0.0,0.0,0.0,0.0
Alur Cricket Stadium,T20,4,4,0,0,0,1,1,100.0,3,3,100.0,8,1022,4,530,4,492,43,0,0,0,0,43,127.75,150,107,132.5,150,122,123.0,135,107,0.0,0.0,0.0,0.0,0.0,0.0
Alur Cricket Stadium II,T20,4,4,0,0,0,2,2,100.0,2,2,100.0,8,1037,4,579,4,458,52,0,0,0,0,52,129.62,200,83,144.75,200,93,114.5,158,83,0.0,0.0,0.0,0.0,0.0,0.0
Alur Cricket Stadium III,T20,5,5,0,0,0,2,2,100.0,3,3,100.0,10,1560,5,792,5,768,42,0,0,0,0,42,156.0,183,133,158.4,183,133,153.6,173,137,0.0,0.0,0.0,0.0,0.0,0.0
AMI Stadium,ODI,4,4,0,0,0,2,2,100.0,2,2,100.0,8,2209,4,1168,4,1041,59,0,0,0,0,59,276.12,392,213,292.0,392,241,260.25,334,213,0.0,0.0,0.0,0.0,0.0,0.0
AMI Stadium,T20,3,2,0,1,0,1,1,100.0,1,1,100.0,8,1034,3,559,3,460,38,0,0,0,0,38,129.25,214,6,186.33,214,162,153.33,214,80,0.0,0.0,0.0,0.0,0.0,0.0
AMI Stadium,Test,2,2,0,0,0,0,0,0.0,2,2,100.0,8,1780,2,587,2,638,66,0,0,0,0,66,222.5,433,119,293.5,433,154,319.0,432,206,0.0,0.0,0.0,0.0,0.0,0.0
Amini Park,T20,6,5,1,0,0,3,3,100.0,2,2,100.0,12,1211,6,803,6,408,50,0,0,0,0,50,100.92,216,11,133.83,216,46,68.0,125,11,0.0,0.0,0.0,0.0,0.0,0.0
"Amini Park, Port Moresby",ODI,13,12,0,1,0,9,9,100.0,3,3,100.0,26,4277,13,2533,13,1744,223,0,0,0,0,223,164.5,284,33,194.85,284,93,134.15,205,33,0.0,0.0,0.0,0.0,0.0,0.0
"Amini Park, Port Moresby",T20,19,18,1,0,0,9,9,100.0,9,9,100.0,38,3911,19,2204,19,1707,272,0,0,0,0,272,102.92,229,12,116.0,229,64,89.84,137,12,0.0,0.0,0.0,0.0,0.0,0.0
Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium,ODI,1,1,0,0,0,0,0,0.0,1,1,100.0,2,522,1,259,1,263,10,0,0,0,0,10,261.0,263,259,259.0,259,259,263.0,263,263,0.0,0.0,0.0,0.0,0.0,0.0
Antigua Recreation Ground,Test,2,0,0,0,2,0,0,0.0,0,0,0.0,6,2920,2,1339,2,1032,37,0,0,0,0,37,486.67,751,127,669.5,751,588,516.0,747,285,0.0,0.0,0.0,0.0,0.0,0.0
"Antigua Recreation Ground, St John's",ODI,2,2,0,0,0,1,1,100.0,1,1,100.0,4,691,2,393,2,298,33,0,0,0,0,33,172.75,242,144,196.5,242,151,149.0,154,144,0.0,0.0,0.0,0.0,0.0,0.0
"Antigua Recreation Ground, St John's",Test,2,0,0,0,2,0,0,0.0,0,0,0.0,8,2873,2,807,2,656,71,0,0,0,0,71,359.12,566,221,403.5,566,241,328.0,371,285,0.0,0.0,0.0,0.0,0.0,0.0
"Antigua Recreation Ground, St John's, Antigua",Test,1,1,0,0,0,0,0,0.0,1,1,100.0,4,1315,1,240,1,240,37,0,0,0,0,37,328.75,418,240,240.0,240,240,240.0,240,240,0.0,0.0,0.0,0.0,0.0,0.0
Arbab Niaz Stadium,ODI,3,3,0,0,0,0,0,0.0,3,3,100.0,6,1640,3,824,3,816,42,0,0,0,0,42,273.33,328,244,274.67,328,244,272.0,311,247,0.0,0.0,0.0,0.0,0.0,0.0
"Army Ground, Panagoda",T20,4,3,1,0,0,0,0,0.0,3,3,100.0,7,685,4,379,3,306,47,0,0,0,0,47,97.86,133,78,94.75,129,78,102.0,133,81,0.0,0.0,0.0,0.0,0.0,0.0
Arnos Vale Ground,ODI,2,2,0,0,0,1,1,100.0,1,1,100.0,4,514,2,268,2,246,32,0,0,0,0,32,128.5,145,101,134.0,144,124,123.0,145,101,0.0,0.0,0.0,0.0,0.0,0.0
"Arnos Vale Ground, Kingstown",ODI,8,7,0,1,0,4,4,100.0,3,3,100.0,16,2846,8,1590,8,1256,141,0,0,0,0,141,177.88,273,104,198.75,273,141,157.0,220,104,0.0,0.0,0.0,0.0,0.0,0.0
"Arnos Vale Ground, Kingstown",T20,2,2,0,0,0,1,1,100.0,1,1,100.0,4,569,2,287,2,282,31,0,0,0,0,31,142.25,158,124,143.5,152,135,141.0,158,124,0.0,0.0,0.0,0.0,0.0,0.0
"Arnos Vale Ground, Kingstown",Test,2,2,0,0,0,2,2,100.0,0,0,0.0,8,2064,2,722,2,489,67,0,0,0,0,67,258.0,484,13,361.0,484,238,244.5,307,182,0.0,0.0,0.0,0.0,0.0,0.0
"Arnos Vale Ground, Kingstown, St Vincent",ODI,1,1,0,0,0,0,0,0.0,1,1,100.0,2,351,1,191,1,160,14,0,0,0,0,14,175.5,191,160,191.0,191,191,160.0,160,160,0.0,0.0,0.0,0.0,0.0,0.0
"Arnos Vale Ground, Kingstown, St Vincent",T20,12,12,0,0,0,10,10,100.0,2,2,100.0,24,3305,12,1847,12,1458,169,0,0,0,0,169,137.71,211,61,153.92,211,106,121.5,183,61,0.0,0.0,0.0,0.0,0.0,0.0
Arun Jaitley Stadium,ODI,2,2,0,0,0,2,2,100.0,0,0,0.0,4,956,2,575,2,381,37,0,0,0,0,37,239.0,303,144,287.5,303,272,190.5,237,144,0.0,0.0,0.0,0.0,0.0,0.0
Arun Jaitley Stadium,T20,45,42,0,3,0,16,16,100.0,26,26,100.0,96,13532,45,6912,45,6582,546,0,0,0,0,546,140.96,225,2,153.6,225,89,146.27,203,90,0.0,0.0,0.0,0.0,0.0,0.0
Arun Jaitley Stadium,Test,2,1,0,0,1,0,0,0.0,1,1,100.0,8,2411,2,767,2,649,61,0,0,0,0,61,301.38,536,203,383.5,536,231,324.5,373,276,0.0,0.0,0.0,0.0,0.0,0.0
"Arun Jaitley Stadium, Delhi",ODI,5,5,0,0,0,3,3,100.0,2,2,100.0,10,2789,5,1617,5,1172,83,0,0,0,0,83,278.9,428,90,323.4,428,99,234.4,369,90,0.0,0.0,0.0,0.0,0.0,0.0
"Arun Jaitley Stadium, Delhi",T20,48,47,0,1,0,22,22,100.0,25,25,100.0,98,16827,48,8730,48,8073,579,0,0,0,0,579,171.7,278,11,181.88,278,75,168.19,265,77,0.0,0.0,0.0,0.0,0.0,0.0
"Arun Jaitley Stadium, Delhi",Test,2,2,0,0,0,1,1,100.0,1,1,100.0,8,2036,2,781,2,510,62,0,0,0,0,62,254.5,518,113,390.5,518,263,255.0,262,248,0.0,0.0,0.0,0.0,0.0,0.0
Arundel Castle Cricket Club Ground,T20,11,10,1,0,0,8,8,100.0,2,2,100.0,21,2783,11,1619,10,1164,135,0,0,0,0,135,132.52,198,33,147.18,198,91,116.4,180,33,0.0,0.0,0.0,0.0,0.0,0.0
Asgiriya Stadium,Test,3,3,0,0,0,1,1,100.0,2,2,100.0,11,2684,3,598,3,951,93,0,0,0,0,93,244.0,500,73,199.33,279,131,317.0,500,170,0.0,0.0,0.0,0.0,0.0,0.0
Asian Institute of Technology Ground,T20,12,12,0,0,0,8,8,100.0,4,4,100.0,24,1894,12,1147,12,747,162,0,0,0,0,162,78.92,145,23,95.58,145,25,62.25,104,23,0.0,0.0,0.0,0.0,0.0,0.0
"Asian Institute of Technology Ground, Bangkok",T20,16,16,0,0,0,4,4,100.0,12,12,100.0,32,2719,16,1380,16,1339,184,0,0,0,0,184,84.97,153,29,86.25,153,29,83.69,148,30,0.0,0.0,0.0,0.0,0.0,0.0
Aurora Stadium,T20,11,10,1,0,0,4,4,100.0,6,6,100.0,22,2752,11,1536,11,1216,135,0,0,0,0,135,125.09,186,10,139.64,186,69,110.55,176,10,0.0,0.0,0.0,0.0,0.0,0.0
"Aurora Stadium, Launceston",T20,9,9,0,0,0,6,6,100.0,3,3,100.0,18,2299,9,1232,9,1067,110,0,0,0,0,110,127.72,186,95,136.89,186,95,118.56,156,96,0.0,0.0,0.0,0.0,0.0,0.0
"Ballpark Ground, Graz",T20,2,2,0,0,0,1,1,100.0,1,1,100.0,4,504,2,335,2,169,27,0,0,0,0,27,126.0,244,76,167.5,244,91,84.5,93,76,0.0,0.0,0.0,0.0,0.0,0.0
Bangabandhu National Stadium,ODI,2,2,0,0,0,1,1,100.0,1,1,100.0,4,1005,2,546,2,459,26,0,0,0,0,26,251.25,348,198,273.0,348,198,229.5,257,202,0.0,0.0,0.0,0.0,0.0,0.0
Bangabandhu National Stadium,Test,1,1,0,0,0,0,0,0.0,1,1,100.0,3,912,1,184,1,526,30,0,0,0,0,30,304.0,526,184,184.0,184,184,526.0,526,526,0.0,0.0,0.0,0.0,0.0,0.0
"Bangabandhu National Stadium, Dhaka",ODI,3,2,1,0,0,0,0,0.0,2,2,100.0,5,684,3,362,2,322,28,0,0,0,0,28,136.8,185,46,120.67,182,46,161.0,185,137,0.0,0.0,0.0,0.0,0.0,0.0
"Bangabandhu National Stadium, Dhaka",Test,1,1,0,0,0,0,0,0.0,1,1,100.0,4,917,1,203,1,295,33,0,0,0,0,33,229.25,295,164,203.0,203,203,295.0,295,295,0.0,0.0,0.0,0.0,0.0,0.0
"Banks Field, Vinor",T20,6,6,0,0,0,3,3,100.0,3,3,100.0,12,1396,6,742,6,654,64,0,0,0,0,64,116.33,177,68,123.67,177,68,109.0,132,69,0.0,0.0,0.0,0.0,0.0,0.0
Bankstown Oval,T20,2,2,0,0,0,1,1,100.0,1,1,100.0,4,522,2,263,2,259,26,0,0,0,0,26,130.5,142,117,131.5,141,122,129.5,142,117,0.0,0.0,0.0,0.0,0.0,0.0
"Bankstown Oval, Sydney",Test,2,1,0,0,1,0,0,0.0,1,1,100.0,8,1426,2,341,2,346,65,0,0,0,0,65,178.25,259,133,170.5,207,134,173.0,187,159,0.0,0.0,0.0,0.0,0.0,0.0
Barabati Stadium,ODI,6,6,0,0,0,2,2,100.0,4,4,100.0,12,3384,6,1779,6,1605,79,0,0,0,0,79,282.0,381,194,296.5,381,211,267.5,366,194,0.0,0.0,0.0,0.0,0.0,0.0
Barabati Stadium,T20,33,33,0,0,0,17,17,100.0,16,16,100.0,66,9340,33,5181,33,4159,417,0,0,0,0,417,141.52,234,62,157.0,234,75,126.03,187,62,0.0,0.0,0.0,0.0,0.0,0.0
"Barabati Stadium, Cuttack",ODI,2,2,0,0,0,0,0,0.0,2,2,100.0,4,1107,2,550,2,557,31,0,0,0,0,31,276.75,308,246,275.0,304,246,278.5,308,249,0.0,0.0,0.0,0.0,0.0,0.0
"Barabati Stadium, Cuttack",T20,2,2,0,0,0,1,1,100.0,1,1,100.0,4,546,2,323,2,223,28,0,0,0,0,28,136.5,175,74,161.5,175,148,111.5,149,74,0.0,0.0,0.0,0.0,0.0,0.0
Barsapara Cricket Stadium,ODI,1,1,0,0,0,0,0,0.0,1,1,100.0,2,648,1,322,1,326,10,0,0,0,0,10,324.0,326,322,322.0,322,322,326.0,326,326,0.0,0.0,0.0,0.0,0.0,0.0
Barsapara Cricket Stadium,T20,4,4,0,0,0,2,2,100.0,2,2,100.0,8,981,4,508,4,473,47,0,0,0,0,47,122.62,160,111,127.0,160,111,118.25,122,114,0.0,0.0,0.0,0.0,0.0,0.0
"Barsapara Cricket Stadium, Guwahati",ODI,6,6,0,0,0,4,4,100.0,2,2,100.0,12,2528,6,1435,6,1093,95,0,0,0,0,95,210.67,373,69,239.17,373,69,182.17,306,73,0.0,0.0,0.0,0.0,0.0,0.0
"Barsapara Cricket Stadium, Guwahati",T20,11,11,0,0,0,5,5,100.0,6,6,100.0,22,3825,11,1963,11,1862,125,0,0,0,0,125,173.86,237,123,178.45,237,127,169.27,225,123,0.0,0.0,0.0,0.0,0.0,0.0
"Barsapara Cricket Stadium, Guwahati",Test,1,1,0,0,0,1,1,100.0,0,0,0.0,4,1090,1,489,1,201,35,0,0,0,0,35,272.5,489,140,489.0,489,489,201.0,201,201,0.0,0.0,0.0,0.0,0.0,0.0
Basin Reserve,ODI,5,5,0,0,0,4,4,100.0,1,1,100.0,10,2439,5,1417,5,1022,77,0,0,0,0,77,243.9,318,154,283.4,318,233,204.4,256,154,0.0,0.0,0.0,0.0,0.0,0.0
Basin Reserve,T20,33,33,0,0,0,17,17,100.0,16,16,100.0,66,9607,33,5097,33,4510,408,0,0,0,0,408,145.56,200,45,154.45,200,81,136.67,181,45,0.0,0.0,0.0,0.0,0.0,0.0
Basin Reserve,Test,21,15,0,0,6,7,7,100.0,8,8,100.0,75,21757,21,6801,21,6723,646,0,0,0,0,646,290.09,680,9,323.86,595,134,320.14,562,99,0.0,0.0,0.0,0.0,0.0,0.0
"Basin Reserve, Wellington",ODI,14,13,1,0,0,6,6,100.0,7,7,100.0,27,5651,14,3204,13,2447,183,0,0,0,0,183,209.3,350,61,228.86,346,61,188.23,350,122,0.0,0.0,0.0,0.0,0.0,0.0
"Basin Reserve, Wellington",T20,52,50,1,1,0,30,30,100.0,20,20,100.0,103,14395,52,7804,51,6591,685,0,0,0,0,685,139.76,234,62,150.08,234,97,129.24,196,62,0.0,0.0,0.0,0.0,0.0,0.0
"Basin Reserve, Wellington",Test,7,6,0,0,1,3,3,100.0,3,3,100.0,26,7412,7,2462,7,1849,225,0,0,0,0,225,285.08,580,57,351.71,580,205,264.14,578,125,0.0,0.0,0.0,0.0,0.0,0.0
Bay Oval,ODI,16,16,0,0,0,6,6,100.0,10,10,100.0,32,7953,16,4096,16,3857,231,0,0,0,0,231,248.53,371,161,256.0,371,161,241.06,326,166,0.0,0.0,0.0,0.0,0.0,0.0
Bay Oval,T20,23,21,2,0,0,11,11,100.0,10,10,100.0,44,6779,23,3674,21,3105,263,0,0,0,0,263,154.07,243,25,159.74,243,25,147.86,207,79,0.0,0.0,0.0,0.0,0.0,0.0
Bay Oval,Test,2,2,0,0,0,1,1,100.0,1,1,100.0,7,2286,2,784,2,854,64,0,0,0,0,64,326.57,615,180,392.0,431,353,427.0,615,239,0.0,0.0,0.0,0.0,0.0,0.0
"Bay Oval, Mount Maunganui",ODI,12,12,0,0,0,7,7,100.0,5,5,100.0,24,4822,12,2534,12,2288,195,0,0,0,0,195,200.92,271,128,211.17,271,134,190.67,256,128,0.0,0.0,0.0,0.0,0.0,0.0
"Bay Oval, Mount Maunganui",T20,30,27,2,1,0,16,16,100.0,11,11,100.0,58,7886,30,4293,28,3593,404,0,0,0,0,404,135.97,220,16,143.1,220,16,128.32,185,89,0.0,0.0,0.0,0.0,0.0,0.0
"Bay Oval, Mount Maunganui",Test,4,4,0,0,0,3,3,100.0,1,1,100.0,16,4666,4,1739,4,1346,135,0,0,0,0,135,291.62,575,42,434.75,575,325,336.5,458,162,0.0,0.0,0.0,0.0,0.0,0.0
Bayer Uerdingen Cricket Ground,T20,49,49,0,0,0,26,26,100.0,23,23,100.0,98,12297,49,6814,49,5483,680,0,0,0,0,680,125.48,308,49,139.06,308,49,111.9,218,51,0.0,0.0,0.0,0.0,0.0,0.0
"Bayuemas Oval, Kuala Lumpur",T20,131,127,3,1,0,61,61,100.0,66,66,100.0,261,25650,131,14658,128,10991,1655,0,0,0,0,1655,98.28,222,0,111.89,222,17,85.87,183,18,0.0,0.0,0.0,0.0,0.0,0.0
"Beausejour Stadium, Gros Islet",ODI,18,15,2,1,0,6,6,100.0,9,9,100.0,35,7402,18,4050,17,3352,224,0,0,0,0,224,211.49,363,27,225.0,363,27,197.18,252,81,0.0,0.0,0.0,0.0,0.0,0.0
"Beausejour Stadium, Gros Islet",T20,15,15,0,0,0,6,6,100.0,9,9,100.0,30,4368,15,2239,15,2129,178,0,0,0,0,178,145.6,197,94,149.27,191,94,141.93,197,97,0.0,0.0,0.0,0.0,0.0,0.0
"Beausejour Stadium, Gros Islet",Test,1,1,0,0,0,1,1,100.0,0,0,0.0,4,1002,1,380,1,161,34,0,0,0,0,34,250.5,380,161,380.0,380,380,161.0,161,161,0.0,0.0,0.0,0.0,0.0,0.0
"Belgrano Athletic Club Ground, Buenos Aires",T20,10,10,0,0,0,6,6,100.0,4,4,100.0,20,2644,10,1514,10,1130,124,0,0,0,0,124,132.2,226,71,151.4,226,97,113.0,136,71,0.0,0.0,0.0,0.0,0.0,0.0
Bellerive Oval,ODI,19,19,0,0,0,10,10,100.0,9,9,100.0,38,9370,19,5036,19,4334,275,0,0,0,0,275,246.58,363,130,265.05,363,130,228.11,326,133,0.0,0.0,0.0,0.0,0.0,0.0
Bellerive Oval,T20,64,61,1,2,0,33,33,100.0,28,28,100.0,131,19645,64,10309,63,9297,779,0,0,0,0,779,149.96,213,6,161.08,213,87,147.57,209,60,0.0,0.0,0.0,0.0,0.0,0.0
Bellerive Oval,Test,7,7,0,0,0,5,5,100.0,2,2,100.0,26,7210,7,2478,7,1974,217,0,0,0,0,217,277.31,583,78,354.0,583,85,282.0,406,136,0.0,0.0,0.0,0.0,0.0,0.0
"Bellerive Oval, Hobart",ODI,4,4,0,0,0,3,3,100.0,1,1,100.0,8,2201,4,1239,4,962,60,0,0,0,0,60,275.12,409,222,309.75,409,251,240.5,264,222,0.0,0.0,0.0,0.0,0.0,0.0
"Bellerive Oval, Hobart",T20,69,66,1,2,0,29,29,100.0,37,37,100.0,142,20159,69,10536,69,9567,865,0,0,0,0,865,141.96,229,12,152.7,229,79,138.65,202,51,0.0,0.0,0.0,0.0,0.0,0.0
"Bellerive Oval, Hobart",Test,1,1,0,0,0,1,1,100.0,0,0,0.0,4,770,1,303,1,188,40,0,0,0,0,40,192.5,303,124,303.0,303,303,188.0,188,188,0.0,0.0,0.0,0.0,0.0,0.0
Bermuda National Stadium,T20,1,1,0,0,0,0,0,0.0,1,1,100.0,2,283,1,141,1,142,15,0,0,0,0,15,141.5,142,141,141.0,141,141,142.0,142,142,0.0,0.0,0.0,0.0,0.0,0.0
Bert Sutcliffe Oval,ODI,7,7,0,0,0,3,3,100.0,4,4,100.0,14,3182,7,1718,7,1464,86,0,0,0,0,86,227.29,309,126,245.43,309,126,209.14,277,130,0.0,0.0,0.0,0.0,0.0,0.0
Bharat Ratna Shri Atal Bihari Vajpai Ekana Cricket Stadium,ODI,2,2,0,0,0,0,0,0.0,2,2,100.0,4,1006,2,514,2,492,16,0,0,0,0,16,251.5,269,223,257.0,266,248,246.0,269,223,0.0,0.0,0.0,0.0,0.0,0.0
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,ODI,3,3,0,0,0,0,0,0.0,3,3,100.0,6,1049,3,522,3,527,37,0,0,0,0,37,174.83,189,157,174.0,188,157,175.67,189,160,0.0,0.0,0.0,0.0,0.0,0.0
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,T20,11,11,0,0,0,4,4,100.0,7,7,100.0,22,3119,11,1670,11,1449,112,0,0,0,0,112,141.77,197,104,151.82,197,112,131.73,159,104,0.0,0.0,0.0,0.0,0.0,0.0
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium B,T20,5,5,0,0,0,3,3,100.0,2,2,100.0,10,1425,5,786,5,639,64,0,0,0,0,64,142.5,193,76,157.2,193,104,127.8,156,76,0.0,0.0,0.0,0.0,0.0,0.0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",ODI,5,5,0,0,0,3,3,100.0,2,2,100.0,10,2284,5,1260,5,1024,78,0,0,0,0,78,228.4,311,129,252.0,311,209,204.8,263,129,0.0,0.0,0.0,0.0,0.0,0.0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",T20,35,33,1,1,0,14,14,100.0,19,19,100.0,71,11658,35,6105,34,5548,416,0,0,0,0,416,164.2,235,1,174.43,235,99,163.18,230,101,0.0,0.0,0.0,0.0,0.0,0.0
